object_annotation_category,total_lipids_ugC,fullness_ratio_carbon,month,month_true
cvstage+lateral<Calanus hyperboreus,623.0481542546097,0.6091608482647777,8,8
civstage+lateral<Calanus hyperboreus,227.9759140972136,0.5424935238744238,8,8
civstage+lateral<Calanus hyperboreus,296.36848995328364,0.5977402867177165,8,8
cvstage+lateral<Calanus glacialis,282.1806572309836,0.5673941424156295,8,8
cvstage+lateral<Calanus hyperboreus,618.6608578215697,0.5214524283610324,8,8
cvstage+lateral<Calanus hyperboreus,880.0468014136494,0.557798856094766,8,8
cvstage+lateral<Calanus glacialis,389.1208121927826,0.5790785053164914,8,8
female+lateral<Calanus hyperboreus,1591.422747781484,0.61411986052753,8,8
female+lateral<Calanus hyperboreus,1123.1630378529828,0.5570691525049815,8,8
female+lateral<Calanus hyperboreus,991.0214684533324,0.4896631339964762,8,8
female+lateral<Calanus hyperboreus,1219.3423838923447,0.5959637748366624,8,8
female+lateral<Calanus hyperboreus,2369.0683871446527,0.6567541145009583,8,8
civstage+lateral<Calanus hyperboreus,387.07541316887654,0.6498821680832119,8,8
cvstage+lateral<Calanus glacialis,403.04469626230934,0.6608250299845149,8,8
cvstage+lateral<Calanus glacialis,595.1597719278358,0.8157504699624899,8,8
civstage+lateral<Calanus hyperboreus,357.31354542599576,0.6100346070601669,8,8
civstage+lateral<Calanus hyperboreus,279.6517477377449,0.5812059197151088,8,8
female+lateral<Calanus glacialis,194.04226048613475,0.4333958704507249,8,8
